tile,id,centroid,area_m2,min_veg_distance_m,risk_score,zone_1a_veg_density,zone_1b_veg_density,zone_2_veg_density,overlay_image
688f9793_05120_06656,0,"(315, 395)",84.7,0.22,3.09,0.257,0.298,0.728,overlay/688f9793_05120_06656.png
688f9793_05120_06656,1,"(70, 376)",109.8,1.75,1.92,0.0,0.374,0.64,overlay/688f9793_05120_06656.png
688f9793_05120_07168,0,"(108, 350)",122.3,2.68,0.23,0.0,0.055,0.051,overlay/688f9793_05120_07168.png
688f9793_05120_07168,1,"(355, 238)",157.4,2.24,0.27,0.0,0.065,0.057,overlay/688f9793_05120_07168.png
688f9793_05120_08192,0,"(353, 416)",100.0,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_05120_08192.png
688f9793_05120_08192,1,"(306, 140)",141.2,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_05120_08192.png
688f9793_05632_02048,0,"(476, 373)",27.4,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_05632_02048.png
688f9793_05632_02048,1,"(435, 123)",105.2,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_05632_02048.png
688f9793_05632_02560,0,"(116, 372)",192.4,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_05632_02560.png
688f9793_05632_02560,1,"(49, 91)",60.7,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_05632_02560.png
688f9793_05632_03072,0,"(430, 470)",52.0,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_05632_03072.png
688f9793_05632_03072,1,"(328, 266)",164.3,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_05632_03072.png
688f9793_05632_03072,2,"(155, 43)",64.8,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_05632_03072.png
688f9793_05632_03584,0,"(479, 270)",28.3,2.4,0.13,0.0,0.018,0.058,overlay/688f9793_05632_03584.png
688f9793_05632_04096,0,"(143, 321)",209.8,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_05632_04096.png
