tile,id,centroid,area_m2,min_veg_distance_m,risk_score,zone_1a_veg_density,zone_1b_veg_density,zone_2_veg_density,overlay_image
688f8a1f_02048_07168,0,"(277, 263)",178.5,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_02048_07168.png
688f8a1f_02048_07168,1,"(55, 275)",111.4,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_02048_07168.png
688f8a1f_02048_07680,0,"(400, 269)",177.9,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_02048_07680.png
688f8a1f_02048_07680,1,"(66, 279)",137.9,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_02048_07680.png
688f8a1f_02048_08192,0,"(360, 263)",157.3,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_02048_08192.png
688f8a1f_02048_08192,1,"(126, 254)",149.2,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_02048_08192.png
688f8a1f_02048_08704,0,"(270, 478)",15.8,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_02048_08704.png
688f8a1f_02048_08704,1,"(347, 298)",139.1,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_02048_08704.png
688f8a1f_02048_08704,2,"(108, 266)",159.9,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_02048_08704.png
688f8a1f_02048_09216,0,"(312, 303)",181.5,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_02048_09216.png
688f8a1f_02048_09216,1,"(89, 299)",146.5,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_02048_09216.png
688f8a1f_02048_09728,0,"(257, 356)",161.6,0.93,0.32,0.011,0.088,0.0,overlay/688f8a1f_02048_09728.png
688f8a1f_02048_09728,1,"(64, 349)",127.3,12.58,0.14,0.0,0.0,0.112,overlay/688f8a1f_02048_09728.png
688f8a1f_02048_10240,0,"(250, 468)",21.5,0.42,0.74,0.108,0.068,0.0,overlay/688f8a1f_02048_10240.png
688f8a1f_02048_10240,1,"(425, 250)",65.1,1.95,0.17,0.0,0.054,0.002,overlay/688f8a1f_02048_10240.png
688f8a1f_02048_10752,0,"(143, 471)",80.8,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_02048_10752.png
688f8a1f_02048_10752,1,"(143, 278)",188.0,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_02048_10752.png
688f8a1f_02048_11264,0,"(478, 308)",54.7,14.81,0.02,0.0,0.0,0.014,overlay/688f8a1f_02048_11264.png
688f8a1f_02048_11264,1,"(304, 320)",193.4,1.16,0.06,0.003,0.014,0.0,overlay/688f8a1f_02048_11264.png
688f8a1f_02048_11776,0,"(317, 351)",204.2,1.08,0.12,0.009,0.023,0.0,overlay/688f8a1f_02048_11776.png
688f8a1f_02048_11776,1,"(65, 341)",124.4,0.86,0.17,0.014,0.034,0.0,overlay/688f8a1f_02048_11776.png
688f8a1f_02048_12288,0,"(98, 371)",181.4,11.52,0.06,0.0,0.0,0.051,overlay/688f8a1f_02048_12288.png
688f8a1f_02048_12288,1,"(363, 354)",199.9,2.11,0.16,0.0,0.055,0.0,overlay/688f8a1f_02048_12288.png
688f8a1f_02048_12800,0,"(395, 385)",177.8,3.66,0.06,0.0,0.02,0.0,overlay/688f8a1f_02048_12800.png
688f8a1f_02048_12800,1,"(128, 374)",190.7,4.53,0.03,0.0,0.005,0.014,overlay/688f8a1f_02048_12800.png
688f8a1f_02048_13312,0,"(422, 396)",146.0,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_02048_13312.png
688f8a1f_02048_13312,1,"(171, 397)",193.3,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_02048_13312.png
688f8a1f_02048_13824,0,"(468, 409)",63.0,2.94,0.4,0.0,0.131,0.006,overlay/688f8a1f_02048_13824.png
688f8a1f_02048_14336,0,"(179, 407)",270.9,0.3,0.6,0.099,0.035,0.0,overlay/688f8a1f_02048_14336.png
688f8a1f_02048_14336,1,"(461, 403)",78.2,2.2,0.22,0.0,0.075,0.0,overlay/688f8a1f_02048_14336.png
688f8a1f_02048_14848,0,"(320, 423)",158.5,17.7,0.02,0.0,0.0,0.013,overlay/688f8a1f_02048_14848.png
688f8a1f_02048_14848,1,"(41, 418)",54.7,26.9,0.01,0.0,0.0,0.008,overlay/688f8a1f_02048_14848.png
688f8a1f_02048_15360,0,"(368, 442)",99.6,1.02,0.3,0.037,0.028,0.023,overlay/688f8a1f_02048_15360.png
688f8a1f_02048_15360,1,"(99, 430)",109.9,17.46,0.05,0.0,0.0,0.04,overlay/688f8a1f_02048_15360.png
688f8a1f_02048_15872,0,"(418, 459)",68.6,0.0,0.94,0.139,0.074,0.014,overlay/688f8a1f_02048_15872.png
688f8a1f_02048_15872,1,"(137, 451)",86.1,1.5,0.25,0.0,0.077,0.016,overlay/688f8a1f_02048_15872.png
688f8a1f_02048_16384,0,"(207, 466)",74.5,5.1,0.05,0.0,0.006,0.027,overlay/688f8a1f_02048_16384.png
688f8a1f_02048_16896,0,"(87, 486)",32.9,0.84,0.34,0.025,0.073,0.0,overlay/688f8a1f_02048_16896.png
688f8a1f_02048_16896,1,"(63, 34)",16.4,16.56,0.03,0.0,0.0,0.022,overlay/688f8a1f_02048_16896.png
688f8a1f_02560_00000,0,"(176, 487)",15.9,0.0,8.0,0.738,0.821,0.882,overlay/688f8a1f_02560_00000.png
688f8a1f_02560_03584,0,"(233, 25)",23.8,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_02560_03584.png
688f8a1f_02560_04096,0,"(486, 408)",36.3,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_02560_04096.png
688f8a1f_02560_04096,1,"(41, 28)",17.8,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_02560_04096.png
688f8a1f_02560_04608,0,"(108, 328)",150.1,8.81,0.05,0.0,0.004,0.031,overlay/688f8a1f_02560_04608.png
688f8a1f_02560_04608,1,"(395, 86)",135.1,0.87,0.19,0.016,0.037,0.0,overlay/688f8a1f_02560_04608.png
688f8a1f_02560_05120,0,"(330, 448)",107.4,9.8,0.03,0.0,0.0,0.027,overlay/688f8a1f_02560_05120.png
688f8a1f_02560_05632,0,"(148, 462)",56.6,2.2,0.2,0.0,0.006,0.147,overlay/688f8a1f_02560_05632.png
688f8a1f_02560_06144,0,"(196, 442)",148.5,20.7,0.0,0.0,0.0,0.003,overlay/688f8a1f_02560_06144.png
688f8a1f_02560_06144,1,"(150, 165)",206.5,1.72,0.01,0.0,0.003,0.0,overlay/688f8a1f_02560_06144.png
688f8a1f_02560_06656,0,"(396, 284)",351.9,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_02560_06656.png
688f8a1f_02560_07168,0,"(406, 441)",106.8,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_02560_07168.png
688f8a1f_02560_07168,1,"(391, 187)",233.8,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_02560_07168.png
688f8a1f_02560_07680,0,"(373, 204)",214.5,3.94,0.03,0.0,0.008,0.006,overlay/688f8a1f_02560_07680.png
688f8a1f_02560_08192,0,"(252, 214)",407.2,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_02560_08192.png
688f8a1f_02560_08704,0,"(418, 227)",145.9,4.7,0.11,0.0,0.018,0.045,overlay/688f8a1f_02560_08704.png
688f8a1f_02560_08704,1,"(144, 222)",237.6,1.62,0.14,0.0,0.045,0.0,overlay/688f8a1f_02560_08704.png
688f8a1f_02560_09216,0,"(46, 215)",74.2,1.11,0.37,0.012,0.074,0.072,overlay/688f8a1f_02560_09216.png
688f8a1f_02560_10240,0,"(239, 306)",329.1,0.42,0.59,0.076,0.072,0.0,overlay/688f8a1f_02560_10240.png
688f8a1f_02560_10752,0,"(199, 467)",74.1,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_02560_10752.png
688f8a1f_02560_10752,1,"(171, 294)",211.2,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_02560_10752.png
688f8a1f_02560_10752,2,"(148, 66)",140.2,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_02560_10752.png
688f8a1f_02560_11264,0,"(365, 368)",172.7,0.0,0.61,0.078,0.074,0.0,overlay/688f8a1f_02560_11264.png
688f8a1f_02560_11264,1,"(382, 92)",38.5,0.0,0.8,0.116,0.064,0.021,overlay/688f8a1f_02560_11264.png
688f8a1f_02560_11776,0,"(378, 396)",144.9,0.6,0.6,0.027,0.083,0.171,overlay/688f8a1f_02560_11776.png
688f8a1f_02560_11776,1,"(106, 394)",173.6,0.76,0.7,0.058,0.063,0.18,overlay/688f8a1f_02560_11776.png
688f8a1f_02560_12288,0,"(106, 386)",172.0,13.52,0.06,0.0,0.0,0.049,overlay/688f8a1f_02560_12288.png
688f8a1f_02560_12288,1,"(360, 344)",188.3,6.43,0.14,0.0,0.038,0.019,overlay/688f8a1f_02560_12288.png
688f8a1f_02560_12800,0,"(373, 388)",180.4,0.93,0.17,0.01,0.009,0.069,overlay/688f8a1f_02560_12800.png
688f8a1f_02560_12800,1,"(104, 366)",188.9,0.72,0.25,0.013,0.049,0.031,overlay/688f8a1f_02560_12800.png
688f8a1f_02560_12800,2,"(373, 20)",17.3,1.27,0.21,0.008,0.045,0.027,overlay/688f8a1f_02560_12800.png
688f8a1f_02560_13312,0,"(415, 389)",171.1,9.04,0.16,0.0,0.01,0.099,overlay/688f8a1f_02560_13312.png
688f8a1f_02560_13312,1,"(145, 390)",178.3,0.72,0.42,0.021,0.091,0.037,overlay/688f8a1f_02560_13312.png
688f8a1f_02560_13312,2,"(249, 83)",15.2,0.0,1.71,0.278,0.104,0.009,overlay/688f8a1f_02560_13312.png
688f8a1f_02560_13312,3,"(410, 31)",38.4,0.3,0.79,0.111,0.059,0.047,overlay/688f8a1f_02560_13312.png
688f8a1f_02560_13824,0,"(443, 412)",92.0,0.0,1.36,0.151,0.202,0.0,overlay/688f8a1f_02560_13824.png
688f8a1f_02560_14336,0,"(456, 400)",90.3,6.18,0.11,0.0,0.037,0.0,overlay/688f8a1f_02560_14336.png
688f8a1f_02560_14336,1,"(183, 396)",246.7,4.82,0.06,0.0,0.018,0.007,overlay/688f8a1f_02560_14336.png
688f8a1f_02560_14336,2,"(48, 56)",43.3,15.09,0.02,0.0,0.0,0.014,overlay/688f8a1f_02560_14336.png
688f8a1f_02560_14848,0,"(293, 437)",110.3,3.36,0.12,0.0,0.038,0.007,overlay/688f8a1f_02560_14848.png
688f8a1f_02560_14848,1,"(68, 417)",86.4,4.19,0.17,0.0,0.053,0.007,overlay/688f8a1f_02560_14848.png
688f8a1f_02560_14848,2,"(483, 415)",39.9,7.05,0.05,0.0,0.007,0.024,overlay/688f8a1f_02560_14848.png
688f8a1f_02560_14848,3,"(90, 57)",59.4,5.81,0.16,0.0,0.049,0.01,overlay/688f8a1f_02560_14848.png
688f8a1f_02560_15360,0,"(369, 458)",71.3,15.3,0.05,0.0,0.0,0.037,overlay/688f8a1f_02560_15360.png
688f8a1f_02560_15360,1,"(88, 426)",109.8,8.6,0.1,0.0,0.02,0.029,overlay/688f8a1f_02560_15360.png
688f8a1f_02560_15360,2,"(370, 46)",66.0,5.11,0.07,0.0,0.008,0.033,overlay/688f8a1f_02560_15360.png
688f8a1f_02560_15360,3,"(112, 23)",25.2,2.97,0.31,0.0,0.105,0.0,overlay/688f8a1f_02560_15360.png
688f8a1f_02560_15872,0,"(118, 475)",53.6,5.7,0.36,0.0,0.109,0.022,overlay/688f8a1f_02560_15872.png
688f8a1f_02560_15872,1,"(396, 456)",95.0,7.13,0.21,0.0,0.052,0.046,overlay/688f8a1f_02560_15872.png
688f8a1f_02560_15872,2,"(422, 62)",83.5,9.84,0.08,0.0,0.0,0.066,overlay/688f8a1f_02560_15872.png
688f8a1f_02560_15872,3,"(145, 50)",70.7,4.62,0.33,0.0,0.103,0.02,overlay/688f8a1f_02560_15872.png
688f8a1f_02560_16384,0,"(150, 470)",67.8,0.22,2.49,0.239,0.421,0.027,overlay/688f8a1f_02560_16384.png
688f8a1f_02560_16384,1,"(483, 473)",16.3,6.32,0.68,0.0,0.159,0.16,overlay/688f8a1f_02560_16384.png
688f8a1f_02560_16384,2,"(493, 92)",18.6,0.49,1.27,0.147,0.05,0.164,overlay/688f8a1f_02560_16384.png
688f8a1f_02560_16384,3,"(205, 64)",108.5,4.77,0.66,0.0,0.142,0.189,overlay/688f8a1f_02560_16384.png
688f8a1f_02560_16896,0,"(32, 475)",17.7,0.82,1.04,0.057,0.217,0.084,overlay/688f8a1f_02560_16896.png
688f8a1f_02560_16896,1,"(467, 220)",59.3,1.15,0.37,0.01,0.049,0.14,overlay/688f8a1f_02560_16896.png
688f8a1f_02560_16896,2,"(225, 99)",297.2,4.16,0.66,0.0,0.147,0.18,overlay/688f8a1f_02560_16896.png
688f8a1f_03072_03072,0,"(464, 79)",46.8,13.8,0.03,0.0,0.0,0.026,overlay/688f8a1f_03072_03072.png
688f8a1f_03072_03584,0,"(143, 356)",133.4,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_03072_03584.png
688f8a1f_03072_03584,1,"(233, 62)",22.5,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_03072_03584.png
688f8a1f_03072_03584,2,"(74, 80)",87.5,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_03072_03584.png
688f8a1f_03072_04096,0,"(371, 304)",136.2,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_03072_04096.png
688f8a1f_03072_04096,1,"(459, 99)",68.6,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_03072_04096.png
688f8a1f_03072_04608,0,"(427, 320)",128.6,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_03072_04608.png
688f8a1f_03072_04608,1,"(62, 90)",85.6,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_03072_04608.png
688f8a1f_03072_05120,0,"(21, 315)",24.5,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_03072_05120.png
688f8a1f_03072_05120,1,"(366, 47)",54.7,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_03072_05120.png
688f8a1f_03072_05632,0,"(313, 407)",161.1,3.2,0.06,0.0,0.012,0.018,overlay/688f8a1f_03072_05632.png
688f8a1f_03072_05632,1,"(122, 75)",115.2,4.64,0.04,0.0,0.007,0.017,overlay/688f8a1f_03072_05632.png
688f8a1f_03072_06144,0,"(301, 440)",120.3,14.68,0.01,0.0,0.0,0.008,overlay/688f8a1f_03072_06144.png
688f8a1f_03072_06144,1,"(65, 415)",53.9,22.87,0.01,0.0,0.0,0.006,overlay/688f8a1f_03072_06144.png
688f8a1f_03072_06144,2,"(231, 198)",205.6,4.5,0.02,0.0,0.006,0.0,overlay/688f8a1f_03072_06144.png
688f8a1f_03072_06656,0,"(420, 358)",100.4,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_03072_06656.png
688f8a1f_03072_06656,1,"(415, 125)",138.7,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_03072_06656.png
688f8a1f_03072_07168,0,"(447, 465)",41.9,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_03072_07168.png
688f8a1f_03072_07168,1,"(64, 380)",64.9,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_03072_07168.png
688f8a1f_03072_07168,2,"(35, 128)",51.1,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_03072_07168.png
688f8a1f_03072_07168,3,"(420, 176)",238.8,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_03072_07168.png
688f8a1f_03072_07680,0,"(30, 456)",25.7,26.08,0.03,0.0,0.0,0.004,overlay/688f8a1f_03072_07680.png
688f8a1f_03072_07680,1,"(408, 210)",279.4,0.51,0.21,0.039,0.005,0.0,overlay/688f8a1f_03072_07680.png
688f8a1f_03072_08192,0,"(427, 485)",32.4,5.45,0.02,0.0,0.008,0.0,overlay/688f8a1f_03072_08192.png
688f8a1f_03072_08192,1,"(331, 194)",317.1,1.12,0.02,0.003,0.002,0.0,overlay/688f8a1f_03072_08192.png
688f8a1f_03072_08704,0,"(102, 475)",49.6,11.11,0.04,0.0,0.0,0.032,overlay/688f8a1f_03072_08704.png
688f8a1f_03072_08704,1,"(383, 458)",99.7,1.56,0.24,0.0,0.078,0.0,overlay/688f8a1f_03072_08704.png
688f8a1f_03072_08704,2,"(53, 190)",83.0,15.17,0.05,0.0,0.0,0.04,overlay/688f8a1f_03072_08704.png
688f8a1f_03072_08704,3,"(341, 153)",265.4,1.71,0.15,0.0,0.05,0.0,overlay/688f8a1f_03072_08704.png
688f8a1f_03072_09216,0,"(105, 447)",95.6,2.33,0.38,0.0,0.102,0.058,overlay/688f8a1f_03072_09216.png
688f8a1f_03072_09216,1,"(379, 428)",157.9,0.84,0.69,0.022,0.193,0.0,overlay/688f8a1f_03072_09216.png
688f8a1f_03072_09216,2,"(284, 106)",326.7,1.56,0.57,0.0,0.191,0.0,overlay/688f8a1f_03072_09216.png
688f8a1f_03072_09728,0,"(54, 421)",72.6,0.61,0.62,0.047,0.109,0.05,overlay/688f8a1f_03072_09728.png
688f8a1f_03072_09728,1,"(329, 403)",154.2,0.48,0.64,0.054,0.111,0.031,overlay/688f8a1f_03072_09728.png
688f8a1f_03072_09728,2,"(250, 76)",198.5,1.42,0.5,0.001,0.16,0.012,overlay/688f8a1f_03072_09728.png
688f8a1f_03072_09728,3,"(24, 101)",32.7,1.37,0.42,0.005,0.11,0.05,overlay/688f8a1f_03072_09728.png
688f8a1f_03072_10240,0,"(288, 260)",395.4,0.51,0.19,0.021,0.03,0.0,overlay/688f8a1f_03072_10240.png
688f8a1f_03072_10752,0,"(273, 465)",76.8,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_03072_10752.png
688f8a1f_03072_10752,1,"(259, 267)",194.9,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_03072_10752.png
688f8a1f_03072_10752,2,"(230, 60)",119.8,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_03072_10752.png
688f8a1f_03072_11264,0,"(351, 38)",40.9,1.28,0.32,0.006,0.08,0.04,overlay/688f8a1f_03072_11264.png
688f8a1f_03072_11776,0,"(415, 470)",58.0,18.8,0.08,0.0,0.0,0.06,overlay/688f8a1f_03072_11776.png
688f8a1f_03072_12288,0,"(140, 464)",60.2,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_03072_12288.png
688f8a1f_03072_12288,1,"(393, 457)",77.0,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_03072_12288.png
688f8a1f_03072_12800,0,"(435, 469)",46.3,16.58,0.52,0.0,0.0,0.021,overlay/688f8a1f_03072_12800.png
688f8a1f_03072_12800,1,"(238, 471)",52.7,7.53,0.09,0.0,0.012,0.046,overlay/688f8a1f_03072_12800.png
688f8a1f_03072_13312,0,"(37, 467)",24.1,20.89,0.04,0.0,0.0,0.034,overlay/688f8a1f_03072_13312.png
688f8a1f_03072_13312,1,"(301, 466)",69.3,19.17,0.06,0.0,0.0,0.046,overlay/688f8a1f_03072_13312.png
688f8a1f_03072_13824,0,"(449, 20)",18.8,0.31,2.47,0.317,0.211,0.037,overlay/688f8a1f_03072_13824.png
688f8a1f_03072_14336,0,"(79, 482)",24.5,0.18,1.02,0.164,0.056,0.021,overlay/688f8a1f_03072_14336.png
688f8a1f_03072_14336,1,"(314, 484)",37.8,0.96,0.33,0.048,0.014,0.038,overlay/688f8a1f_03072_14336.png
688f8a1f_03072_14336,2,"(453, 31)",25.8,12.3,0.19,0.0,0.0,0.029,overlay/688f8a1f_03072_14336.png
688f8a1f_03072_14848,0,"(479, 46)",21.1,13.28,0.22,0.0,0.0,0.062,overlay/688f8a1f_03072_14848.png
688f8a1f_03072_14848,1,"(281, 51)",78.2,1.8,0.17,0.0,0.018,0.098,overlay/688f8a1f_03072_14848.png
688f8a1f_03072_15360,0,"(349, 63)",93.7,0.0,1.0,0.17,0.037,0.032,overlay/688f8a1f_03072_15360.png
688f8a1f_03072_15360,1,"(66, 33)",33.2,12.88,0.07,0.0,0.0,0.054,overlay/688f8a1f_03072_15360.png
688f8a1f_03072_15872,0,"(377, 57)",96.7,0.99,0.3,0.008,0.079,0.018,overlay/688f8a1f_03072_15872.png
688f8a1f_03072_15872,1,"(107, 70)",109.6,0.18,0.83,0.12,0.067,0.018,overlay/688f8a1f_03072_15872.png
688f8a1f_03072_16384,0,"(468, 99)",61.8,7.02,0.08,0.0,0.012,0.038,overlay/688f8a1f_03072_16384.png
688f8a1f_03072_16384,1,"(158, 83)",137.9,0.0,1.38,0.255,0.035,0.0,overlay/688f8a1f_03072_16384.png
688f8a1f_03072_16896,0,"(413, 406)",157.4,0.12,1.47,0.153,0.19,0.11,overlay/688f8a1f_03072_16896.png
688f8a1f_03072_16896,1,"(491, 116)",16.9,0.13,3.14,0.411,0.344,0.039,overlay/688f8a1f_03072_16896.png
688f8a1f_03072_16896,2,"(168, 161)",275.8,0.63,1.0,0.053,0.232,0.029,overlay/688f8a1f_03072_16896.png
688f8a1f_03584_03072,0,"(270, 408)",157.8,3.72,0.45,0.0,0.144,0.013,overlay/688f8a1f_03584_03072.png
688f8a1f_03584_03584,0,"(152, 231)",360.0,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_03584_03584.png
688f8a1f_03584_04096,0,"(443, 491)",17.6,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_03584_04096.png
688f8a1f_03584_04096,1,"(351, 308)",133.9,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_03584_04096.png
688f8a1f_03584_04096,2,"(352, 79)",121.0,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_03584_04096.png
688f8a1f_03584_04608,0,"(443, 240)",236.3,9.96,0.02,0.0,0.0,0.015,overlay/688f8a1f_03584_04608.png
688f8a1f_03584_05120,0,"(79, 393)",116.5,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_03584_05120.png
688f8a1f_03584_05120,1,"(48, 121)",75.0,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_03584_05120.png
688f8a1f_03584_05632,0,"(214, 441)",109.3,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_03584_05632.png
688f8a1f_03584_05632,1,"(158, 216)",159.0,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_03584_05632.png
688f8a1f_03584_06144,0,"(279, 455)",92.0,14.71,0.02,0.0,0.0,0.013,overlay/688f8a1f_03584_06144.png
688f8a1f_03584_06144,1,"(332, 255)",173.4,8.78,0.06,0.0,0.003,0.037,overlay/688f8a1f_03584_06144.png
688f8a1f_03584_06144,2,"(281, 29)",50.6,7.81,0.04,0.0,0.012,0.005,overlay/688f8a1f_03584_06144.png
688f8a1f_03584_06656,0,"(460, 309)",73.2,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_03584_06656.png
688f8a1f_03584_06656,1,"(451, 102)",79.5,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_03584_06656.png
688f8a1f_03584_07168,0,"(47, 317)",72.5,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_03584_07168.png
688f8a1f_03584_07168,1,"(451, 174)",159.7,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_03584_07168.png
688f8a1f_03584_07168,2,"(76, 83)",98.3,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_03584_07168.png
688f8a1f_03584_07680,0,"(424, 114)",136.7,0.19,1.07,0.191,0.039,0.0,overlay/688f8a1f_03584_07680.png
688f8a1f_03584_07680,1,"(47, 199)",124.8,11.42,0.05,0.0,0.0,0.042,overlay/688f8a1f_03584_07680.png
688f8a1f_03584_08192,0,"(482, 471)",16.5,19.47,0.01,0.0,0.0,0.01,overlay/688f8a1f_03584_08192.png
688f8a1f_03584_08192,1,"(423, 79)",100.0,0.0,0.87,0.172,0.006,0.0,overlay/688f8a1f_03584_08192.png
688f8a1f_03584_08192,2,"(142, 99)",209.8,0.43,0.43,0.08,0.01,0.0,overlay/688f8a1f_03584_08192.png
688f8a1f_03584_08704,0,"(272, 452)",210.2,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_03584_08704.png
688f8a1f_03584_08704,1,"(386, 55)",98.7,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_03584_08704.png
688f8a1f_03584_08704,2,"(100, 70)",104.7,999.0,0.0,0.0,0.0,0.0,overlay/688f8a1f_03584_08704.png
688f8a1f_03584_09216,0,"(219, 424)",263.1,12.64,0.02,0.0,0.0,0.017,overlay/688f8a1f_03584_09216.png
688f8a1f_03584_09216,1,"(482, 402)",41.6,15.49,0.01,0.0,0.0,0.008,overlay/688f8a1f_03584_09216.png
688f8a1f_03584_09216,2,"(101, 40)",63.3,2.68,0.07,0.0,0.023,0.0,overlay/688f8a1f_03584_09216.png
688f8a1f_03584_09728,0,"(214, 380)",328.0,0.18,0.45,0.071,0.009,0.053,overlay/688f8a1f_03584_09728.png
688f8a1f_03584_09728,1,"(37, 40)",19.7,10.25,0.04,0.0,0.0,0.03,overlay/688f8a1f_03584_09728.png
688f8a1f_03584_10240,0,"(232, 323)",369.8,0.95,0.16,0.004,0.047,0.0,overlay/688f8a1f_03584_10240.png
688f8a1f_03584_10752,0,"(323, 282)",178.5,3.45,0.54,0.0,0.064,0.276,overlay/688f8a1f_03584_10752.png
688f8a1f_03584_10752,1,"(300, 70)",112.0,9.06,0.21,0.0,0.005,0.156,overlay/688f8a1f_03584_10752.png
688f8a1f_03584_11264,0,"(432, 143)",140.9,2.68,0.31,0.0,0.069,0.083,overlay/688f8a1f_03584_11264.png
688f8a1f_03584_11776,0,"(341, 346)",18.6,0.0,2.01,0.173,0.314,0.162,overlay/688f8a1f_03584_11776.png
688f8a1f_03584_11776,1,"(413, 76)",105.2,3.49,0.51,0.0,0.012,0.383,overlay/688f8a1f_03584_11776.png
688f8a1f_03584_11776,2,"(186, 105)",159.5,0.96,0.95,0.013,0.068,0.547,overlay/688f8a1f_03584_11776.png
688f8a1f_03584_12288,0,"(408, 91)",135.5,8.22,0.59,0.0,0.008,0.454,overlay/688f8a1f_03584_12288.png
688f8a1f_03584_12288,1,"(171, 84)",131.0,10.44,0.67,0.0,0.0,0.538,overlay/688f8a1f_03584_12288.png
688f8a1f_03584_12800,0,"(114, 271)",14.8,4.1,1.07,0.0,0.234,0.293,overlay/688f8a1f_03584_12800.png
688f8a1f_03584_12800,1,"(435, 67)",72.7,9.6,1.25,0.0,0.002,0.392,overlay/688f8a1f_03584_12800.png
688f8a1f_03584_12800,2,"(194, 83)",151.9,8.71,0.87,0.0,0.009,0.671,overlay/688f8a1f_03584_12800.png
688f8a1f_03584_13312,0,"(320, 59)",121.2,5.55,1.11,0.0,0.13,0.578,overlay/688f8a1f_03584_13312.png
688f8a1f_03584_13312,1,"(41, 59)",35.9,8.63,0.58,0.0,0.015,0.421,overlay/688f8a1f_03584_13312.png
688f8a1f_03584_13824,0,"(463, 474)",25.4,6.63,0.2,0.0,0.023,0.108,overlay/688f8a1f_03584_13824.png
688f8a1f_03584_13824,1,"(453, 102)",83.7,4.21,0.19,0.0,0.009,0.129,overlay/688f8a1f_03584_13824.png
688f8a1f_03584_14336,0,"(293, 472)",55.5,5.22,0.09,0.0,0.01,0.05,overlay/688f8a1f_03584_14336.png
688f8a1f_03584_14336,1,"(60, 454)",49.3,11.34,0.1,0.0,0.0,0.045,overlay/688f8a1f_03584_14336.png
688f8a1f_03584_14336,2,"(483, 117)",46.5,0.0,2.8,0.536,0.039,0.005,overlay/688f8a1f_03584_14336.png
688f8a1f_03584_14336,3,"(290, 112)",165.1,0.84,0.37,0.039,0.06,0.0,overlay/688f8a1f_03584_14336.png
